DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241605319,02/13/2024 12:00:00 AM,02/13/2024 12:00:00 AM,1000,16,Foothill,1643,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,40,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,10600    ILEX                         AV,,34.2625,-118.4198
241912881,11/05/2024 12:00:00 AM,11/04/2024 12:00:00 AM,2200,19,Mission,1991,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,8100    LANGDON                      AV,,34.2176,-118.4688
240306728,02/22/2024 12:00:00 AM,02/22/2024 12:00:00 AM,1610,3,Southwest,357,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 0216 0202 1307,49,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1300 W  36TH                         PL,,34.0219,-118.2974
242006910,03/07/2024 12:00:00 AM,03/06/2024 12:00:00 AM,1716,20,Olympic,2029,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394 1822 0352 1221,25,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,400 S  HOOVER                       ST,,34.0652,-118.2878
240206745,02/23/2024 12:00:00 AM,02/18/2024 12:00:00 AM,1800,2,Rampart,246,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0385 1300,67,M,H,101,STREET,,,IC,Invest Cont,331,,,,400 S  BONNIE BRAE                  ST,,34.0598,-118.2734
242107866,04/10/2024 12:00:00 AM,04/09/2024 12:00:00 AM,1500,21,Topanga,2187,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,5100    ALHAMA                       DR,,34.1618,-118.5932
240208333,03/31/2024 12:00:00 AM,03/30/2024 12:00:00 AM,1800,2,Rampart,205,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 N  CORONADO                     ST,,34.0804,-118.275
241708078,04/04/2024 12:00:00 AM,04/04/2024 12:00:00 AM,1500,17,Devonshire,1708,2,624,BATTERY - SIMPLE ASSAULT,0417,31,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,16500    BIRCHER                      ST,,34.2816,-118.4908
240117804,09/01/2024 12:00:00 AM,09/01/2024 12:00:00 AM,55,1,Central,101,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1200    VIN SCULLY                   AV,,34.0725,-118.2489
241306762,02/27/2024 12:00:00 AM,02/27/2024 12:00:00 AM,1945,13,Newton,1393,1,110,CRIMINAL HOMICIDE,1822 1270 1402 0430 1309 1100 0906,41,M,B,101,STREET,102.0,HAND GUN,IC,Invest Cont,110,998.0,,,100 W  70TH                         ST,,33.9765,-118.2739
